Date,PortfolioValue
2025-01-02,1000000.0
2025-01-03,1000000.0
2025-01-06,1000000.0
2025-01-07,1000000.0
2025-01-08,1000000.0
2025-01-10,1000000.0
2025-01-13,1000000.0
2025-01-14,1000000.0
2025-01-15,1000000.0
2025-01-16,1000000.0
2025-01-17,1000000.0
2025-01-21,1000000.0
2025-01-22,1000000.0
2025-01-23,1000000.0
2025-01-24,1000000.0
2025-01-27,1000000.0
2025-01-28,1000000.0
2025-01-29,1000000.0
2025-01-30,1000000.0
2025-01-31,1000000.0
2025-02-03,1000000.0
2025-02-04,1000000.0
2025-02-05,997811.9553375244
2025-02-06,999713.5594177246
2025-02-07,997818.6748046875
2025-02-10,993536.6119689941
2025-02-11,1000287.9206237793
2025-02-12,1006285.6578521729
2025-02-13,1007026.2687530518
2025-02-14,1009141.9415740967
2025-02-18,1012693.1222076416
2025-02-19,1006605.8901824951
2025-02-20,1004819.4635772705
2025-02-21,1010686.5286407471
2025-02-24,1022031.3994903564
2025-02-25,1027193.8702468872
2025-02-26,1023254.6892547607
2025-02-27,1023345.8090896606
2025-02-28,1029629.9565048218
2025-03-03,1031256.1086654663
2025-03-04,1029327.0461349487
2025-03-05,1022472.7066726685
2025-03-06,1023143.2547531128
2025-03-07,1026145.1850204468
2025-03-10,1033292.3831710815
2025-03-11,1028417.9961013794
2025-03-12,1025058.9192581177
2025-03-13,1033055.1073379517
2025-03-14,1032662.9804458618
2025-03-17,1038666.1307754517
2025-03-18,1047191.0241622925
2025-03-19,1042834.1174850464
2025-03-20,1044263.2558364868
2025-03-21,1041895.2110366821
2025-03-24,1040016.2163925171
2025-03-25,1038307.6270065308
2025-03-26,1054502.2312393188
2025-03-27,1062879.7516403198
2025-03-28,1078438.8936843872
2025-03-31,1087753.3547592163
2025-04-01,1078772.6277389526
2025-04-02,1081516.321296692
2025-04-03,1095505.0208206177
2025-04-04,1081942.7575302124
2025-04-07,1080611.1113510132
2025-04-08,1087402.7346420288
2025-04-09,1105052.1043167114
2025-04-10,1099858.198234558
2025-04-11,1113239.750984192
2025-04-14,1118064.4379501343
2025-04-15,1122728.9040145874
2025-04-16,1115437.0855636597
2025-04-17,1117597.2672042847
2025-04-21,1126210.4573440552
2025-04-22,1115892.8337478638
2025-04-23,1104757.5330047605
2025-04-24,1085123.3520355225
2025-04-25,1072412.1191177368
2025-04-28,1074726.5454330444
2025-04-29,1074158.6241989136
2025-04-30,1079268.1320877073
2025-05-01,1070995.4798049924
2025-05-02,1051921.7052078247
2025-05-05,1056174.6250534058
2025-05-06,1055745.5631637573
2025-05-07,1051381.6858291626
2025-05-08,1054429.6400375366
2025-05-09,1060955.623954773
2025-05-12,1065512.341545105
2025-05-13,1063801.278465271
2025-05-14,1070137.6744918823
2025-05-15,1068607.8370742798
2025-05-16,1071027.3824386597
2025-05-19,1071407.122505188
2025-05-20,1071671.677192688
2025-05-21,1069838.6375656128
2025-05-22,1073099.338859558
2025-05-23,1060486.919517517
2025-05-27,1077269.5676498413
