number,value,state,datetime_start,datetime_complete,duration_seconds,params_json,fold_sharpes_json,avg_cv_sharpe
0,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:10:59.304236,2026-04-01T02:10:59.307953,0.003717,"{""atr_window"": 16, ""bb_std_dev"": 2.35, ""bb_window"": 14, ""cooldown"": 2, ""macd_fast"": 14, ""macd_k"": 1.15, ""macd_k_mid"": 0.55, ""macd_signal"": 9, ""macd_slow"": 44, ""macd_std_window"": 88, ""rebalance_freq"": 150, ""rebounce_block"": 3, ""sl_mult_lm"": 1.0, ""sl_mult_lr"": 2.5, ""sl_mult_sm"": 1.85, ""sl_mult_sr"": 2.1, ""time_stop"": 9, ""tp_mult_lm"": 5.3, ""tp_mult_lr"": 9.8, ""tp_mult_sm"": 6.9, ""tp_mult_sr"": 3.7, ""trail_mult"": 2.2, ""trail_tp"": true, ""use_trailing"": true}",{},
1,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:10:59.346486,2026-04-01T02:10:59.347573,0.001087,"{""atr_window"": 20, ""bb_std_dev"": 2.45, ""bb_window"": 14, ""cooldown"": 1, ""macd_fast"": 12, ""macd_k"": 1.6, ""macd_k_mid"": 0.55, ""macd_signal"": 8, ""macd_slow"": 40, ""macd_std_window"": 71, ""rebalance_freq"": 150, ""rebounce_block"": 6, ""sl_mult_lm"": 1.35, ""sl_mult_lr"": 2.3, ""sl_mult_sm"": 1.7000000000000002, ""sl_mult_sr"": 1.5, ""time_stop"": 16, ""tp_mult_lm"": 5.6, ""tp_mult_lr"": 12.0, ""tp_mult_sm"": 3.4, ""tp_mult_sr"": 5.0, ""trail_mult"": 3.2, ""trail_tp"": false, ""use_trailing"": true}",{},
2,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:10:59.376983,2026-04-01T02:10:59.379124,0.002141,"{""atr_window"": 14, ""bb_std_dev"": 1.75, ""bb_window"": 14, ""cooldown"": 4, ""macd_fast"": 20, ""macd_k"": 1.05, ""macd_k_mid"": 0.6, ""macd_signal"": 8, ""macd_slow"": 43, ""macd_std_window"": 98, ""rebalance_freq"": 30, ""rebounce_block"": 5, ""sl_mult_lm"": 2.0, ""sl_mult_lr"": 2.4, ""sl_mult_sm"": 1.25, ""sl_mult_sr"": 1.6, ""time_stop"": 21, ""tp_mult_lm"": 4.2, ""tp_mult_lr"": 12.8, ""tp_mult_sm"": 4.4, ""tp_mult_sr"": 6.2, ""trail_mult"": 2.0, ""trail_tp"": false, ""use_trailing"": true}",{},
3,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:10:59.411213,2026-04-01T02:10:59.412680,0.001467,"{""atr_window"": 18, ""bb_std_dev"": 1.75, ""bb_window"": 17, ""cooldown"": 3, ""macd_fast"": 13, ""macd_k"": 1.3, ""macd_k_mid"": 0.5, ""macd_signal"": 10, ""macd_slow"": 36, ""macd_std_window"": 89, ""rebalance_freq"": 120, ""rebounce_block"": 2, ""sl_mult_lm"": 2.1, ""sl_mult_lr"": 4.300000000000001, ""sl_mult_sm"": 1.1, ""sl_mult_sr"": 3.1, ""time_stop"": 0, ""tp_mult_lm"": 5.1, ""tp_mult_lr"": 14.4, ""tp_mult_sm"": 4.9, ""tp_mult_sr"": 5.300000000000001, ""trail_mult"": 2.6, ""trail_tp"": false, ""use_trailing"": false}",{},
4,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:10:59.441631,2026-04-01T02:11:02.973285,3.531654,"{""atr_window"": 20, ""bb_std_dev"": 1.5499999999999998, ""bb_window"": 17, ""cooldown"": 5, ""macd_fast"": 19, ""macd_k"": 1.2, ""macd_k_mid"": 0.5, ""macd_signal"": 7, ""macd_slow"": 37, ""macd_std_window"": 93, ""rebalance_freq"": 120, ""rebounce_block"": 0, ""sl_mult_lm"": 1.75, ""sl_mult_lr"": 4.7, ""sl_mult_sm"": 1.8, ""sl_mult_sr"": 3.1, ""time_stop"": 25, ""tp_mult_lm"": 5.6, ""tp_mult_lr"": 9.6, ""tp_mult_sm"": 6.5, ""tp_mult_sr"": 5.2, ""trail_mult"": 1.7, ""trail_tp"": false, ""use_trailing"": true}",{},
5,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.008282,2026-04-01T02:11:03.009394,0.001112,"{""atr_window"": 13, ""bb_std_dev"": 2.2, ""bb_window"": 20, ""cooldown"": 2, ""macd_fast"": 14, ""macd_k"": 1.9500000000000002, ""macd_k_mid"": 0.65, ""macd_signal"": 5, ""macd_slow"": 37, ""macd_std_window"": 80, ""rebalance_freq"": 60, ""rebounce_block"": 6, ""sl_mult_lm"": 2.2, ""sl_mult_lr"": 2.8, ""sl_mult_sm"": 1.5, ""sl_mult_sr"": 2.7, ""time_stop"": 4, ""tp_mult_lm"": 6.0, ""tp_mult_lr"": 10.6, ""tp_mult_sm"": 4.0, ""tp_mult_sr"": 3.1, ""trail_mult"": 2.2, ""trail_tp"": true, ""use_trailing"": true}",{},
6,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.072972,2026-04-01T02:11:03.083305,0.010333,"{""atr_window"": 10, ""bb_std_dev"": 2.0, ""bb_window"": 21, ""cooldown"": 0, ""macd_fast"": 17, ""macd_k"": 1.35, ""macd_k_mid"": 0.8, ""macd_signal"": 6, ""macd_slow"": 42, ""macd_std_window"": 92, ""rebalance_freq"": 30, ""rebounce_block"": 2, ""sl_mult_lm"": 1.4, ""sl_mult_lr"": 4.1, ""sl_mult_sm"": 1.0, ""sl_mult_sr"": 2.5, ""time_stop"": 29, ""tp_mult_lm"": 5.6, ""tp_mult_lr"": 13.4, ""tp_mult_sm"": 3.7, ""tp_mult_sr"": 3.0, ""trail_mult"": 1.9, ""trail_tp"": true, ""use_trailing"": false}",{},
7,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.126833,2026-04-01T02:11:03.127708,0.000875,"{""atr_window"": 11, ""bb_std_dev"": 1.65, ""bb_window"": 20, ""cooldown"": 0, ""macd_fast"": 20, ""macd_k"": 1.85, ""macd_k_mid"": 0.8, ""macd_signal"": 6, ""macd_slow"": 43, ""macd_std_window"": 90, ""rebalance_freq"": 120, ""rebounce_block"": 0, ""sl_mult_lm"": 2.1, ""sl_mult_lr"": 4.2, ""sl_mult_sm"": 1.35, ""sl_mult_sr"": 3.3, ""time_stop"": 18, ""tp_mult_lm"": 5.800000000000001, ""tp_mult_lr"": 11.2, ""tp_mult_sm"": 5.5, ""tp_mult_sr"": 6.6, ""trail_mult"": 1.7, ""trail_tp"": false, ""use_trailing"": true}",{},
8,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.166666,2026-04-01T02:11:03.170817,0.004151,"{""atr_window"": 13, ""bb_std_dev"": 1.65, ""bb_window"": 22, ""cooldown"": 3, ""macd_fast"": 10, ""macd_k"": 1.65, ""macd_k_mid"": 0.6, ""macd_signal"": 8, ""macd_slow"": 36, ""macd_std_window"": 91, ""rebalance_freq"": 90, ""rebounce_block"": 4, ""sl_mult_lm"": 1.8, ""sl_mult_lr"": 2.2, ""sl_mult_sm"": 1.65, ""sl_mult_sr"": 2.0, ""time_stop"": 24, ""tp_mult_lm"": 5.4, ""tp_mult_lr"": 13.2, ""tp_mult_sm"": 6.4, ""tp_mult_sr"": 4.5, ""trail_mult"": 2.5, ""trail_tp"": true, ""use_trailing"": false}",{},
9,-1000000000.0,TrialState.COMPLETE,2026-04-01T02:11:03.209098,2026-04-01T02:11:03.210849,0.001751,"{""atr_window"": 20, ""bb_std_dev"": 2.45, ""bb_window"": 25, ""cooldown"": 4, ""macd_fast"": 12, ""macd_k"": 1.65, ""macd_k_mid"": 0.55, ""macd_signal"": 6, ""macd_slow"": 42, ""macd_std_window"": 70, ""rebalance_freq"": 30, ""rebounce_block"": 3, ""sl_mult_lm"": 1.0, ""sl_mult_lr"": 4.9, ""sl_mult_sm"": 1.4, ""sl_mult_sr"": 2.1, ""time_stop"": 29, ""tp_mult_lm"": 4.4, ""tp_mult_lr"": 16.8, ""tp_mult_sm"": 6.800000000000001, ""tp_mult_sr"": 6.4, ""trail_mult"": 2.3, ""trail_tp"": false, ""use_trailing"": false}",{},
